sample_index,time_s,time_error_s
754,7.54,-1.2940029085323e-10
755,7.55,-1.30931047717382e-10
756,7.56,-1.26020861651942e-10
757,7.57,-1.31405294940437e-10
758,7.58,-1.26537594066603e-10
759,7.59,-1.33038660113173e-10
760,7.6,-1.34746309328891e-10
761,7.61,-1.30064668683684e-10
762,7.62,-1.35549324404639e-10
763,7.63,-1.39424815877438e-10
764,7.64,-1.34874188214208e-10
765,7.65,-1.33910663930176e-10
766,7.66,-1.31376507506728e-10
767,7.67,-1.28029579050598e-10
768,7.68,-1.27273421951077e-10
769,7.69,-1.31788197194693e-10
770,7.7,-1.35603064798834e-10
771,7.71,-1.45132266316946e-10
772,7.72,-1.40057922461266e-10
773,7.73,-1.39403576023482e-10
774,7.74,-1.40980146033808e-10
775,7.75,-1.41582079052636e-10
776,7.76,-1.33753584644518e-10
